rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,session,subject,sex,handedness,age,responses,test_part,condition,correct_response,angle,correct
1067,img/30_90.png,74,image-keyboard-response,275,398937,0.0-6.0-1.134,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,276,399338,0.0-6.0-0.135,2,MASC,f,rechts,23,,fixation,,,,
910,img/120_90.png,70,image-keyboard-response,277,400249,0.0-6.0-1.135,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,278,400700,0.0-6.0-0.136,2,MASC,f,rechts,23,,fixation,,,,
953,img/120_270.png,74,image-keyboard-response,279,401655,0.0-6.0-1.136,2,MASC,f,rechts,23,,,self,j,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,280,402006,0.0-6.0-0.137,2,MASC,f,rechts,23,,fixation,,,,
1063,img/120_330.png,70,image-keyboard-response,281,403071,0.0-6.0-1.137,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,282,403573,0.0-6.0-0.138,2,MASC,f,rechts,23,,fixation,,,,
998,img/120_150.png,70,image-keyboard-response,283,404572,0.0-6.0-1.138,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,284,404874,0.0-6.0-0.139,2,MASC,f,rechts,23,,fixation,,,,
925,img/L90_180.png,70,image-keyboard-response,285,405800,0.0-6.0-1.139,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,286,406101,0.0-6.0-0.140,2,MASC,f,rechts,23,,fixation,,,,
1042,img/90_300.png,70,image-keyboard-response,287,407144,0.0-6.0-1.140,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,288,407445,0.0-6.0-0.141,2,MASC,f,rechts,23,,fixation,,,,
1140,img/L30_180.png,70,image-keyboard-response,289,408586,0.0-6.0-1.141,2,MASC,f,rechts,23,,,self,f,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,290,408937,0.0-6.0-0.142,2,MASC,f,rechts,23,,fixation,,,,
701,img/0_90.png,74,image-keyboard-response,291,409640,0.0-6.0-1.142,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,292,409941,0.0-6.0-0.143,2,MASC,f,rechts,23,,fixation,,,,
1272,img/120_30.png,70,image-keyboard-response,293,411215,0.0-6.0-1.143,2,MASC,f,rechts,23,,,self,j,120,FALSE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,294,411517,0.0-6.0-0.144,2,MASC,f,rechts,23,,fixation,,,,
971,img/150_180.png,70,image-keyboard-response,295,412490,0.0-6.0-1.144,2,MASC,f,rechts,23,,,self,j,150,FALSE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,296,412891,0.0-6.0-0.145,2,MASC,f,rechts,23,,fixation,,,,
610,img/0_210.png,70,image-keyboard-response,297,413503,0.0-6.0-1.145,2,MASC,f,rechts,23,,,self,f,0,TRUE
